SciName,Country,programstart,itq_now,iq,itq,ivq,turf,SpeciesCat
Adelomelon ancilla,Chile,1991,0,FALSE,FALSE,FALSE,TRUE,58
Astraea turbanica,Mexico,1992,0,FALSE,FALSE,FALSE,TRUE,58
Astraea undosa,Mexico,1992,0,FALSE,FALSE,FALSE,TRUE,58
Calyptraea trochiformis,Chile,1991,0,FALSE,FALSE,FALSE,TRUE,58
Cypraea tigris,Fiji,NA,0,FALSE,FALSE,FALSE,TRUE,58
Fissurella costata,Chile,1991,0,FALSE,FALSE,FALSE,TRUE,58
Fissurella cumingi,Chile,1991,0,FALSE,FALSE,FALSE,TRUE,58
Fissurella latimarginata,Chile,1991,0,FALSE,FALSE,FALSE,TRUE,58
Fissurella maxima,Chile,1991,0,FALSE,FALSE,FALSE,TRUE,58
Fissurella nigra,Chile,1991,0,FALSE,FALSE,FALSE,TRUE,58
Fissurella picta,Chile,1991,0,FALSE,FALSE,FALSE,TRUE,58
Fissurella pulchra,Chile,1991,0,FALSE,FALSE,FALSE,TRUE,58
Fissurella spp,Chile,1991,0,FALSE,FALSE,FALSE,TRUE,58
Holothurian,Fiji,NA,0,FALSE,FALSE,FALSE,TRUE,58
Odontocymbiola magallanica,Chile,1991,0,FALSE,FALSE,FALSE,TRUE,58
Panopea globosa,Mexico,2003,0,FALSE,FALSE,FALSE,TRUE,58
Papustyla pulcherrima,Vanuatu,NA,0,FALSE,FALSE,FALSE,TRUE,58
Shellfish spp,Vanuatu,NA,0,FALSE,FALSE,FALSE,TRUE,58
Tegula atra,Chile,1991,0,FALSE,FALSE,FALSE,TRUE,58
Trochus spp,Vanuatu,NA,0,FALSE,FALSE,FALSE,TRUE,58
Trophon spp,Chile,1991,0,FALSE,FALSE,FALSE,TRUE,58
Xanthochorus cassidiformis,Chile,1991,0,FALSE,FALSE,FALSE,TRUE,58
Pyura chilensis,Chile,1991,0,FALSE,FALSE,FALSE,TRUE,74
Sea squirt,Chile,NA,0,FALSE,FALSE,FALSE,TRUE,74
Loxechinus albus,Chile,1991,0,FALSE,FALSE,FALSE,TRUE,76
Tripneustes gratilla,Fiji,NA,0,FALSE,FALSE,FALSE,TRUE,76
Athyionidium chilensis,Chile,1991,0,FALSE,FALSE,FALSE,TRUE,77
Pattalus mollis,Chile,1991,0,FALSE,FALSE,FALSE,TRUE,77
Sea cucumber,Vanuatu,NA,0,FALSE,FALSE,FALSE,TRUE,77
Sea cucumbers,Japan,NA,0,FALSE,FALSE,FALSE,TRUE,77
Arctoscopus japonicus,Japan,1949,0,FALSE,FALSE,FALSE,TRUE,33
Balistes polylepis,Mexico,NA,0,FALSE,FALSE,FALSE,TRUE,33
Fissurella bridgesii,Chile,1991,0,FALSE,FALSE,FALSE,TRUE,58
Laburs spp,France,NA,0,FALSE,FALSE,FALSE,TRUE,NA
Maja squinado,Spain,NA,0,FALSE,FALSE,FALSE,TRUE,42
NA,Brazil,NA,0,FALSE,FALSE,FALSE,TRUE,NA
NA,Sri Lanka,NA,0,FALSE,FALSE,FALSE,TRUE,NA
NA,Samoa,1988,0,FALSE,FALSE,FALSE,TRUE,NA
NA,American Samoa,NA,0,FALSE,FALSE,FALSE,TRUE,NA
NA,Vanuatu,NA,0,FALSE,FALSE,FALSE,TRUE,NA
NA,Fiji,1942,0,FALSE,FALSE,FALSE,TRUE,NA
NA,New Zealand,NA,0,FALSE,FALSE,FALSE,TRUE,NA
NA,Solomon Islands,NA,0,FALSE,FALSE,FALSE,TRUE,NA
NA,St Lucia,NA,0,FALSE,FALSE,FALSE,TRUE,NA
NA,Papua New Guinea,NA,0,FALSE,FALSE,FALSE,TRUE,NA
NA,Nigeria,NA,0,FALSE,FALSE,FALSE,TRUE,NA
Penaeus indicus,India,NA,0,FALSE,FALSE,FALSE,TRUE,45
Palinurus elephas,France,NA,0,FALSE,FALSE,FALSE,TRUE,43
Paracentrotus lividus,Spain,NA,0,FALSE,FALSE,FALSE,TRUE,76
Penaeus esculentus,Australia,NA,0,FALSE,FALSE,FALSE,TRUE,45
Penaeus merguiensis,Australia,NA,0,FALSE,FALSE,FALSE,TRUE,45
Penaeus indicus,Fiji,NA,0,FALSE,FALSE,FALSE,TRUE,45
Sebastes variabilis,USA,2007,1,FALSE,FALSE,FALSE,FALSE,33
Sebastes variabilis,USA,2007,0,FALSE,FALSE,FALSE,FALSE,33
Terapon theraps,Vietnam,NA,0,FALSE,FALSE,FALSE,TRUE,33
Trachypenaeus sp.,Australia,NA,0,FALSE,FALSE,FALSE,TRUE,45
NA,NA,1990,1,FALSE,FALSE,TRUE,FALSE,NA
NA,NA,1987,1,FALSE,TRUE,FALSE,FALSE,NA
NA,NA,1987,0,FALSE,TRUE,FALSE,FALSE,NA
NA,NA,1997,0,FALSE,FALSE,TRUE,FALSE,NA
NA,NA,1997,1,FALSE,FALSE,TRUE,FALSE,NA
NA,NA,1990,0,FALSE,FALSE,TRUE,FALSE,NA
